"ServerName","serve_score_rf","serve_score_rf_weighted","ace_pct","avg_speed","sd_speed","location_entropy","rescaled_ace_pct","rescaled_avg_speed","rescaled_sd_speed","rescaled_location_entropy","n_serves"
"andy murray",0.17396742277261,0.398003239108075,0.0848708487084871,115.70479704797,9.06445719889006,2.54713541398655,0.2926144186815,0.564607370343052,0.629368194019863,0.439612999988844,271
"casper ruud",0.0975552847694258,0.389860142613293,0.0941176470588235,114.101960784314,6.96316207347267,2.82236234615903,0.324495171202809,0.489629538181054,0.348797170463386,0.752588439401477,255
"lucas pouille",-0.121953426222923,0.386898910269498,0.0882352941176471,114,8.66283880257523,2.73255400657402,0.304214223002634,0.484859993875923,0.575742940160874,0.650462516176327,68
"oscar otte",-0.741879889290715,0.384872492133889,0.0652173913043478,116.95652173913,8.09377407295023,3.00012282486972,0.22485399091499,0.623160827071506,0.499759765913011,0.95472949985486,46
"elias ymer",-0.924691780260049,0.383858694815125,0.0816326530612245,116.734693877551,5.54066598811341,2.76127379926076,0.281449893390192,0.612784113896567,0.158861364756392,0.683121346709449,49
"aslan karatsev",-0.365496122598979,0.37976289450732,0.0649350649350649,119.311688311688,5.93442175664846,2.60410638670119,0.223880597014925,0.733331334187391,0.211436777735187,0.504397776240147,77
"gijs brouwer",0.179854364271054,0.371621379077341,0.0895522388059701,113.10447761194,8.99854252232029,2.52817345769689,0.308754733793718,0.44296904791238,0.620567075105688,0.418050333301268,67
"yannick hanfmann",-0.145509329364648,0.363594185553071,0.072289156626506,115.433734939759,7.4592919821369,2.7659569729722,0.249235748966013,0.551927566600287,0.415041875744018,0.688446836982565,166
"john millman",-0.362926955292162,0.363215380913817,0.0909090909090909,113.787878787879,6.01156616356568,2.65251300262178,0.313432835820896,0.474937340513851,0.221737322836447,0.559443558891719,66
"daniel evans",0.253045972091878,0.361845489348993,0.0811688311688312,114.25,7.21285271578966,2.7102505991754,0.279850746268657,0.496554549624079,0.382136589681539,0.625100104598788,308
"emil ruusuvuori",0.024152827744185,0.356787199224913,0.0367647058823529,120.75,5.8102718748144,3.01706257714591,0.126755926251097,0.800612999076132,0.194859925203023,0.973992608920287,136
"lorenzo sonego",-0.433341120982896,0.355457556182435,0.0418848167539267,118.471204188482,8.13555925132205,2.97793372663673,0.14440884582324,0.694014980450271,0.505339044198798,0.929497075415787,191
"marton fucsovics",-0.0663596053095711,0.349072994348663,0.0616113744075829,116.265402843602,7.00733834579425,2.7823592613449,0.212421305793308,0.590831513262056,0.354695714552814,0.707098766756657,422
"tommy paul",0.165173706027448,0.348950770835823,0.0735009671179884,111.456479690522,10.5525880209546,2.97791774673082,0.253413782153064,0.365878633652906,0.828067740257874,0.929478903799974,517
