server_name,random_intercept,group,model,label
Holger Rune,-0.0303754665274072,m_second,Speed_MPH_z,Average
Hubert Hurkacz,-0.00285029340016512,m_second,Speed_MPH_z,Average
Hugo Gaston,-0.0260928754020504,m_second,Speed_MPH_z,Average
Jack Draper,-0.0291066513878951,m_second,Speed_MPH_z,Average
Jakub Mensik,-0.0610790157995051,m_second,Speed_MPH_z,Average
James Duckworth,-0.00659733117802231,m_second,Speed_MPH_z,Average
Jannik Sinner,-0.0313750633133161,m_second,Speed_MPH_z,Average
Jiri Lehecka,0.00887793112042334,m_second,Speed_MPH_z,Average
Jordan Thompson,-0.0287457535604386,m_second,Speed_MPH_z,Average
Juncheng Shang,-0.0370106312718374,m_second,Speed_MPH_z,Average
Karen Khachanov,0.0340207932731931,m_second,Speed_MPH_z,Average
Laslo Djere,-0.0135348400236142,m_second,Speed_MPH_z,Average
Lorenzo Musetti,0.0413171631375593,m_second,Speed_MPH_z,Average
Lorenzo Sonego,0.0304964834134183,m_second,Speed_MPH_z,Average
Luca Nardi,0.0112002762895017,m_second,Speed_MPH_z,Average
Luciano Darderi,0.0326803368839192,m_second,Speed_MPH_z,Average
Mackenzie McDonald,0.0202274740240864,m_second,Speed_MPH_z,Average
Marcos Giron,0.0541045626152829,m_second,Speed_MPH_z,Average
Mariano Navone,-0.0358553334532638,m_second,Speed_MPH_z,Average
Matteo Arnaldi,0.0132769802949536,m_second,Speed_MPH_z,Average
Matteo Berrettini,-0.023090054857686,m_second,Speed_MPH_z,Average
Mattia Bellucci,0.00506126103196317,m_second,Speed_MPH_z,Average
Max Purcell,0.033579959606288,m_second,Speed_MPH_z,Average
Maximilian Marterer,0.0208130183391613,m_second,Speed_MPH_z,Average
Miomir Kecmanovic,0.0262334678587441,m_second,Speed_MPH_z,Average
Nicolas Jarry,-0.0455131779258049,m_second,Speed_MPH_z,Average
Novak Djokovic,0.107629519746954,m_second,Speed_MPH_z,Over-performer
Nuno Borges,0.0281096397805891,m_second,Speed_MPH_z,Average
Pavel Kotov,-0.0269288909965782,m_second,Speed_MPH_z,Average
Pedro Martinez,0.0132427516816024,m_second,Speed_MPH_z,Average
Rinky Hijikata,-0.0705255450838229,m_second,Speed_MPH_z,Average
Roberto Bautista Agut,0.0110724840020333,m_second,Speed_MPH_z,Average
Roberto Carballes Baena,0.0752676455726021,m_second,Speed_MPH_z,Average
Roman Safiullin,0.0247531247092899,m_second,Speed_MPH_z,Average
Sebastian Baez,-0.0235626547831465,m_second,Speed_MPH_z,Average
Sebastian Korda,-0.010043835801891,m_second,Speed_MPH_z,Average
Sebastian Ofner,-0.000393438698608928,m_second,Speed_MPH_z,Average
Stan Wawrinka,0.0333100287537589,m_second,Speed_MPH_z,Average
Stefanos Tsitsipas,0.00356073888688839,m_second,Speed_MPH_z,Average
Sumit Nagal,0.00708753999941645,m_second,Speed_MPH_z,Average
Tallon Griekspoor,-0.0531356622427928,m_second,Speed_MPH_z,Average
Taylor Fritz,0.0314489600236214,m_second,Speed_MPH_z,Average
Thanasi Kokkinakis,0.00300460016666196,m_second,Speed_MPH_z,Average
Thiago Monteiro,-0.018219592931885,m_second,Speed_MPH_z,Average
Thiago Seyboth Wild,0.028585840363973,m_second,Speed_MPH_z,Average
Tomas Machac,0.0800290933134571,m_second,Speed_MPH_z,Average
Tommy Paul,0.0101165555846646,m_second,Speed_MPH_z,Average
Ugo Humbert,-0.00566198007090691,m_second,Speed_MPH_z,Average
Yunchaokete Bu,-0.0492767951967038,m_second,Speed_MPH_z,Average
Zizou Bergs,-0.026453096181416,m_second,Speed_MPH_z,Average
Adam Walton,0.0068182451374167,m_second,speed_ratio_z,Average
Adrian Mannarino,0.00805662293583354,m_second,speed_ratio_z,Average
Alejandro Davidovich Fokina,0.00684498794976527,m_second,speed_ratio_z,Average
Alejandro Tabilo,-0.0299117604971457,m_second,speed_ratio_z,Average
Aleksandar Kovacevic,-0.0273852926557202,m_second,speed_ratio_z,Average
Aleksandar Vukic,-0.00174640459889135,m_second,speed_ratio_z,Average
Alex de Minaur,0.0741088831673419,m_second,speed_ratio_z,Average
Alex Michelsen,-0.0593784858539043,m_second,speed_ratio_z,Average
Alexander Bublik,0.00791706894975926,m_second,speed_ratio_z,Average
