rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
53,Alexei Popyrin,Australia,AUS,1916,23,2024-09-21,0,0,1998
54,Pierre Hugues Herbert,France,FRA,1915,32,2019-06-24,0,0,1989
55,Richard Gasquet,France,FRA,1914,9,2007-10-08,-5,-12,2196
56,Egor Gerasimov,Belarus,BLR,1909,46,2021-03-08,0,0,1932
57,Lloyd George Muirhead Harris,South Africa,RSA,1905,30,2021-09-13,-2,-9,1988
58,Corentin Moutet,France,FRA,1901,47,2023-03-06,0,0,1921
59,Federico Delbonis,Argentina,ARG,1900,41,2016-04-11,15,36,1953
60,Sam Querrey,United States,USA,1897,18,2013-04-21,1,0,2068
61,Aljaz Bedene,Slovenia,SLO,1895,42,2018-05-21,-4,-10,1939
62,Nikoloz Basilashvili,Georgia,GEO,1894,30,2019-01-07,-3,-5,1990
63,John Millman,Australia,AUS,1893,38,2018-09-10,-1,5,1954
64,Miomir Kecmanovic,Serbia,SRB,1889,27,2022-08-08,-4,-9,1977
65,Fernando Verdasco,Spain,ESP,1885,7,2009-05-04,-2,0,2204
