server_name,random_intercept,group,model,rank,label
John Isner,-0.008175516,m_second,Speed_MPH_z,108,Average
John Millman,-0.004729344,m_second,Speed_MPH_z,95,Average
Jordan Thompson,-0.016060598,m_second,Speed_MPH_z,124,Under-performer
Juncheng Shang,0.007443143,m_second,Speed_MPH_z,21,Average
Karen Khachanov,-0.001052947,m_second,Speed_MPH_z,70,Average
Kei Nishikori,0.003674107,m_second,Speed_MPH_z,36,Average
Kevin Anderson,-0.002887845,m_second,Speed_MPH_z,84,Average
Laslo Djere,0.002043919,m_second,Speed_MPH_z,48,Average
Liam Broady,-0.002150822,m_second,Speed_MPH_z,78,Average
Lloyd Harris,-0.003648727,m_second,Speed_MPH_z,88,Average
Lorenzo Musetti,-0.000555496,m_second,Speed_MPH_z,66,Average
Lorenzo Sonego,-0.001063602,m_second,Speed_MPH_z,71,Average
Lucas Pouille,-0.006803895,m_second,Speed_MPH_z,105,Average
Marco Cecchinato,0.000321705,m_second,Speed_MPH_z,62,Average
Marcos Giron,-0.006472983,m_second,Speed_MPH_z,102,Average
Marin Cilic,-0.005233918,m_second,Speed_MPH_z,97,Average
Marton Fucsovics,-0.0106886,m_second,Speed_MPH_z,116,Average
Matteo Berrettini,-0.023337215,m_second,Speed_MPH_z,127,Under-performer
Mattia Bellucci,0.006800809,m_second,Speed_MPH_z,24,Average
Max Purcell,0.000932022,m_second,Speed_MPH_z,58,Average
Maxime Cressy,0.010829716,m_second,Speed_MPH_z,13,Average
Maximilian Marterer,-0.002661458,m_second,Speed_MPH_z,82,Average
Mikael Ymer,0.00468116,m_second,Speed_MPH_z,31,Average
Miomir Kecmanovic,-0.010946268,m_second,Speed_MPH_z,118,Under-performer
Nick Kyrgios,-0.018652718,m_second,Speed_MPH_z,126,Under-performer
Nicolas Jarry,-0.012933772,m_second,Speed_MPH_z,122,Under-performer
Nikoloz Basilashvili,0.002661576,m_second,Speed_MPH_z,44,Average
Novak Djokovic,0.020488403,m_second,Speed_MPH_z,2,Over-performer
Oscar Otte,-0.012301093,m_second,Speed_MPH_z,121,Under-performer
Pablo Andujar,0.002358428,m_second,Speed_MPH_z,47,Average
Pedro Cachin,-0.000434277,m_second,Speed_MPH_z,65,Average
Pedro Martinez,-0.002804165,m_second,Speed_MPH_z,83,Average
Philipp Kohlschreiber,-0.001525439,m_second,Speed_MPH_z,74,Average
Quentin Halys,0.003241235,m_second,Speed_MPH_z,38,Average
Radu Albot,-0.000838274,m_second,Speed_MPH_z,68,Average
