server_name,random_intercept,group,model,label
Yosuke Watanuki,0.051290796133463,m_first,speed_ratio_z,Average
Adrian Mannarino,0.0164331152392682,m_second,Speed_MPH_z,Over-performer
Alejandro Davidovich Fokina,0.00917554309594086,m_second,Speed_MPH_z,Average
Alejandro Tabilo,0.000939119837913327,m_second,Speed_MPH_z,Average
Aleksandar Kovacevic,-0.00418468797808106,m_second,Speed_MPH_z,Average
Aleksandar Vukic,-0.0012695018483418,m_second,Speed_MPH_z,Average
Alex de Minaur,-0.0074159211853599,m_second,Speed_MPH_z,Average
Alex De Minaur,0.0070834427625648,m_second,Speed_MPH_z,Average
Alex Molcan,-0.003530079763012,m_second,Speed_MPH_z,Average
Alexander Bublik,-0.0015862248176264,m_second,Speed_MPH_z,Average
Alexander Zverev,0.018749812044706,m_second,Speed_MPH_z,Over-performer
Alexandre Muller,0.0146192871268203,m_second,Speed_MPH_z,Average
Alexei Popyrin,-0.00386754891140322,m_second,Speed_MPH_z,Average
Aljaz Bedene,0.00719949439132201,m_second,Speed_MPH_z,Average
Andrey Rublev,-0.0137514637185597,m_second,Speed_MPH_z,Average
Andy Murray,0.022618521539227,m_second,Speed_MPH_z,Over-performer
Arthur Fils,-0.00511308153409475,m_second,Speed_MPH_z,Average
Arthur Rinderknech,-0.00381885987005079,m_second,Speed_MPH_z,Average
Aslan Karatsev,0.00330532762485874,m_second,Speed_MPH_z,Average
Ben Shelton,0.00242778583162471,m_second,Speed_MPH_z,Average
Benoit Paire,-0.00341298620527402,m_second,Speed_MPH_z,Average
Borna Coric,0.000763112771163756,m_second,Speed_MPH_z,Average
Botic van De Zandschulp,-0.00829603326644304,m_second,Speed_MPH_z,Average
Botic Van De Zandschulp,0.00138104931884525,m_second,Speed_MPH_z,Average
Brandon Nakashima,0.00759243920477322,m_second,Speed_MPH_z,Average
Cameron Norrie,-0.00576448092313485,m_second,Speed_MPH_z,Average
Carlos Alcaraz,0.00269303278060966,m_second,Speed_MPH_z,Average
Casper Ruud,0.0056585588297387,m_second,Speed_MPH_z,Average
Christopher Eubanks,-0.00234330771179353,m_second,Speed_MPH_z,Average
Cristian Garin,-0.00876232738617628,m_second,Speed_MPH_z,Average
Daniel Evans,0.00908705351173544,m_second,Speed_MPH_z,Average
Daniil Medvedev,-0.016144899854909,m_second,Speed_MPH_z,Average
David Goffin,0.00272289846682069,m_second,Speed_MPH_z,Average
Denis Kudla,0.00613845144575565,m_second,Speed_MPH_z,Average
Denis Shapovalov,0.00409192637789342,m_second,Speed_MPH_z,Average
Diego Schwartzman,0.00495917022441317,m_second,Speed_MPH_z,Average
Dominic Stricker,-0.00239154204328463,m_second,Speed_MPH_z,Average
Dominic Thiem,0.0106967956719486,m_second,Speed_MPH_z,Average
Dominik Koepfer,-0.0112156739989439,m_second,Speed_MPH_z,Average
Dusan Lajovic,-0.0067570136949077,m_second,Speed_MPH_z,Average
Elias Ymer,-0.00190772709999167,m_second,Speed_MPH_z,Average
Emil Ruusuvuori,0.00259168629953528,m_second,Speed_MPH_z,Average
Fabian Marozsan,0.000179826843458292,m_second,Speed_MPH_z,Average
Fabio Fognini,-0.00896499886288952,m_second,Speed_MPH_z,Average
Facundo Diaz Acosta,0.00181153632838966,m_second,Speed_MPH_z,Average
Federico Delbonis,0.000980218086702575,m_second,Speed_MPH_z,Average
Feliciano Lopez,0.000461461518706612,m_second,Speed_MPH_z,Average
Frances Tiafoe,-0.000764293876686135,m_second,Speed_MPH_z,Average
Francisco Cerundolo,-0.002466184909792,m_second,Speed_MPH_z,Average
Gael Monfils,-0.00140733485734559,m_second,Speed_MPH_z,Average
Gijs Brouwer,0.00532817318283544,m_second,Speed_MPH_z,Average
Grigor Dimitrov,0.0172940384722864,m_second,Speed_MPH_z,Over-performer
Guido Pella,0.00279877170991347,m_second,Speed_MPH_z,Average
Holger Rune,0.0112043313013717,m_second,Speed_MPH_z,Average
Hubert Hurkacz,-0.00346149445375571,m_second,Speed_MPH_z,Average
Hugo Dellien,0.00280816198214365,m_second,Speed_MPH_z,Average
Ilya Ivashka,-0.0115438792218969,m_second,Speed_MPH_z,Average
Jack Draper,-0.00965931080621738,m_second,Speed_MPH_z,Average
